@relation '1year-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT20)'

@attribute Attr1 numeric
@attribute Attr2 numeric
@attribute Attr3 numeric
@attribute Attr4 numeric
@attribute Attr5 numeric
@attribute Attr6 numeric
@attribute Attr7 numeric
@attribute Attr8 numeric
@attribute Attr9 numeric
@attribute Attr10 numeric
@attribute Attr11 numeric
@attribute Attr12 numeric
@attribute Attr13 numeric
@attribute Attr14 numeric
@attribute Attr15 numeric
@attribute Attr16 numeric
@attribute Attr17 numeric
@attribute Attr18 numeric
@attribute Attr19 numeric
@attribute Attr20 numeric
@attribute Attr21 numeric
@attribute Attr22 numeric
@attribute Attr23 numeric
@attribute Attr24 numeric
@attribute Attr25 numeric
@attribute Attr26 numeric
@attribute Attr27 numeric
@attribute Attr28 numeric
@attribute Attr29 numeric
@attribute Attr30 numeric
@attribute Attr31 numeric
@attribute Attr32 numeric
@attribute Attr33 numeric
@attribute Attr34 numeric
@attribute Attr35 numeric
@attribute Attr36 numeric
@attribute Attr37 numeric
@attribute Attr38 numeric
@attribute Attr39 numeric
@attribute Attr40 numeric
@attribute Attr41 numeric
@attribute Attr42 numeric
@attribute Attr43 numeric
@attribute Attr44 numeric
@attribute Attr45 numeric
@attribute Attr46 numeric
@attribute Attr47 numeric
@attribute Attr48 numeric
@attribute Attr49 numeric
@attribute Attr50 numeric
@attribute Attr51 numeric
@attribute Attr52 numeric
@attribute Attr53 numeric
@attribute Attr54 numeric
@attribute Attr55 numeric
@attribute Attr56 numeric
@attribute Attr57 numeric
@attribute Attr58 numeric
@attribute Attr59 numeric
@attribute Attr60 numeric
@attribute Attr61 numeric
@attribute Attr62 numeric
@attribute Attr63 numeric
@attribute Attr64 numeric
@attribute class {0,1}

@data
-0.13035,0.08968,0.14907,2.6622,-34.003,-0.20856,-0.12478,8.9791,0.76134,0.80524,-0.12478,-1.3914,-0.025158,-0.12478,-2864.9,-0.12741,11.151,-0.12478,-0.27475,148.05,0.68266,-0.12461,-0.28701,-0.19542,0.80524,-0.18946,-2.0889,0.19582,4.0259,0.18671,-0.27475,54.873,6.6517,-1.3895,-0.12461,0.50197,?,0.80524,-0.27437,0.17146,-0.26207,-0.27437,179.52,31.473,-0.70761,0.60813,112.71,-0.23796,-0.52396,2.6622,0.08968,0.15034,1.0578,1.0578,1582.1,-0.31347,-0.16187,1.3135,0,2.4655,11.597,72.074,5.0642,0.59659,0
0.083519,0.40286,0.5838,2.694,35.966,0.63897,0.10728,1.4822,1.0475,0.59714,0.10728,0.31129,0.054553,0.10728,1155.2,0.31597,2.4822,0.10728,0.045977,56.105,0.69907,0.09811,0.035793,0.79947,0.59714,0.25699,0.44045,8.1573,3.8571,0.11417,0.045977,56.473,6.4633,0.24353,0.09811,2.3426,9.7852,0.65536,0.042046,0.40927,0.11213,0.042046,123.17,67.061,0.23286,1.6532,58.773,0.078099,0.03347,2.3046,0.34464,0.15472,8.3437,9.1573,4201,0.045381,0.13987,0.95462,0.09751,6.5056,5.4428,53.91,6.7706,32.604,0
0.083597,0.19199,0.1287,3.6396,105.17,0.26136,0.098854,4.2085,1.262,0.80801,0.098854,2.0274,0.29633,0.098854,659.63,0.55334,5.2085,0.098854,0.27573,45.981,0.96484,0.075537,0.23318,0.30662,0.80801,0.47388,2.6589,0.15647,5.1246,0.53541,0.27573,62.645,5.8265,0.39343,0.075537,0.38294,0.92361,0.95124,0.21069,0.056287,0.076122,0.21069,177.87,131.89,1.851,2.7133,58.027,0.068152,0.1901,0.92429,0.048758,0.17163,0.98233,1.1565,17148,0.2076,0.10346,0.7924,0.17727,7.9381,2.7674,49.64,7.3529,0.43586,0
0.081951,0.24608,0.31273,3.5654,29.45,0.011692,0.094949,3.0638,1.1117,0.75392,0.094949,0.77888,0.13768,0.094949,762.7,0.47856,4.0638,0.094949,0.11101,90.694,1.2354,0.090144,0.095813,0.024163,0.75392,0.42574,1.1717,0.55316,4.8684,0.2118,0.11101,57.834,6.3111,0.36632,0.090144,0.86431,1.7887,0.87809,0.10539,0.85355,0.071621,0.10539,141.07,50.38,0.3856,1.822,100.83,0.06733,0.078718,1.7663,0.12191,0.15845,1.3335,1.5532,23101,0.10051,0.1087,0.89949,0.1647,4.0245,7.2449,52.022,7.0163,1.5129,0
-0.20878,1.0024,-0.38957,0.57408,-253.85,-0.20143,-0.20878,-0.0024414,1.0536,-0.0024473,-0.18972,-0.22826,-0.13894,-0.20878,-2499.6,-0.14602,0.99756,-0.20878,-0.19816,39.001,?,3.9826e-005,-0.19816,?,-0.29253,-0.14602,0.0020897,-0.8203,4.2278,0.92155,-0.44219,393.18,0.92833,0.84703,0.079156,1.0536,18.673,0.019645,0.075132,0.091979,0.53518,3.7802e-005,152.77,113.77,-1.8546,0.45101,48.392,-0.062357,-0.059187,0.52381,0.91466,1.0772,-0.0051533,0.041365,-6583.1,0.19406,85.308,0.83631,-9.0269,9.3588,3.2083,316.88,1.1519,2.2185,0
0.0138,0.87373,-0.11986,0.86281,-125.35,-0.72145,0.0138,0.088591,0.91784,0.077405,0.0138,0.015794,0.020282,0.0138,15069,0.024222,1.1445,0.0138,0.013225,96.118,0.33738,-0.14289,0.013225,-0.71961,0.077405,0.024222,-1.2568,-0.487,5.103,0.64605,0.013225,280.52,1.3012,-0.16354,-0.14289,1.2284,?,0.077405,-0.13693,0.22688,-0.21196,-0.13693,194.36,98.242,0.05022,0.54832,88.222,-0.15025,-0.14399,0.86281,0.87373,0.76855,0.31449,0.31449,-15195,-0.08951,0.17828,1.0895,0,3.7974,3.7153,305.63,1.1943,4.2395,0
0.27548,0.22652,0.56308,3.4857,120.27,0.88543,0.34154,3.2368,1.2366,0.73323,0.34154,1.5077,0.2335,0.34154,209.41,1.743,4.4145,0.34154,0.20198,24.131,0.84647,0.33503,0.16291,1.1001,0.73323,1.4514,2.4502,2.6762,4.3354,-0.035694,0.20198,60.468,6.0362,1.479,0.33503,1.7206,?,0.73323,0.19813,1.3206,0.019178,0.19813,105.87,81.735,2.4642,2.9922,29.841,0.28173,0.16661,3.4857,0.22652,0.16567,3.4849,3.4849,12188,0.19136,0.37571,0.80864,0,15.126,4.4656,48.897,7.4647,8.0368,0
-0.09388,0.24891,0.37417,2.5032,35.006,0.084199,-0.089098,3.0021,0.92569,0.74725,-0.089098,-0.35795,-0.022665,-0.089098,-2643.1,-0.1381,4.0175,-0.089098,-0.058747,51.939,0.67631,-0.10201,-0.0619,0.13816,0.74725,-0.15731,-0.62264,0.99272,4.3735,0.039443,-0.058747,55.452,6.5822,-0.40983,-0.10201,1.5566,?,0.74725,-0.067262,0.7772,-0.17306,-0.067262,103.4,51.458,-0.435,1.6362,48.079,-0.15674,-0.10334,2.5032,0.24891,0.15192,1.9825,1.9825,8843.1,-0.080281,-0.12563,1.0803,0,7.0274,7.0932,59.904,6.0931,4.0238,0
0.16545,0.25279,0.36511,2.4443,28.197,0,0.20354,2.9559,2.3641,0.74721,0.21397,0.80518,0.10169,0.20354,383.78,0.95106,3.9559,0.20354,0.086095,25.881,1.0213,0.20912,0.069985,?,0.70839,0.80038,20.047,0.95556,3.6151,0.076142,0.086198,42.869,8.5144,8.5144,0.21155,2.3641,?,0.74721,0.089482,0.41363,0.034254,0.088456,79.255,53.374,0.98698,1.7812,28.428,0.17225,0.072858,2.4443,0.25279,0.11745,1.9556,1.9556,1505,0.089584,0.22143,0.91439,0,14.103,6.8386,39.028,9.3522,6.1873,0
0.090415,0.46854,0.44505,2.2061,37.257,0.0054431,0.1136,1.1343,2.0398,0.53146,0.13782,0.30788,0.10493,0.1136,798.96,0.45684,2.1343,0.1136,0.055694,38.009,0.93002,0.1301,0.044325,?,0.4609,0.40735,5.3732,2.3933,4.1514,0.17349,0.058576,70.593,5.1705,4.072,0.13193,2.0398,135.07,0.53592,0.064679,0.43427,0.067743,0.063782,116.99,78.981,0.42565,1.6305,40.638,0.029661,0.014541,1.7374,0.36899,0.1934,2.858,2.882,6306.8,0.064679,0.17012,0.94475,0.0083808,9.6029,4.6214,66.027,5.5281,10.969,0
-0.13221,0.47682,0.34243,1.7181,79.125,0,-0.13221,1.0972,1.4343,0.52318,-0.13221,-0.27727,-0.084006,-0.13221,-1444.5,-0.25268,2.0972,-0.13221,-0.092178,0,2.4939,-0.13273,-0.092178,?,0.28141,-0.25268,?,1.8945,3.3156,0.29273,-0.092178,110.97,3.2892,3.2892,-0.13408,1.4343,?,0.52318,-0.093488,0.12011,-0.13134,-0.092544,193.91,193.91,?,1.7181,0,-0.14445,-0.10072,1.7181,0.47682,0.30403,2.8945,2.8945,708.18,-0.093488,-0.2527,1.0921,0,?,1.8823,121.35,3.0079,7.935,0
0.0011371,0.41424,0.22592,2.7898,63.683,0,0.004218,1.4141,0.71197,0.58576,0.04521,0.033416,0.045863,0.004218,4630.4,0.078827,2.4141,0.004218,0.0059244,50.646,0.48989,0.037063,0.0015971,?,0.56995,0.071389,0.90415,0.34873,3.8011,0.57272,0.034665,68.096,5.3601,1.6334,0.035372,0.71197,0.88942,0.87062,0.049682,0.15018,0.21082,0.052056,170.82,120.17,0.01151,2.0072,53.294,0.0086275,0.012118,0.85012,0.12623,0.18656,0.90416,1.3439,1429.2,0.049682,0.0019412,0.9942,0.48631,7.2069,3.0374,64.713,5.6403,1.099,0
0.029986,0.79448,-0.014255,0.97797,-39.996,-0.1195,0.029986,0.21561,1.084,0.1713,0.029986,0.046331,0.046267,0.029986,6723.5,0.054287,1.2587,0.029986,0.032167,31.235,1.4875,0.04381,0.032167,-0.1195,0.1713,0.054287,0.50943,-0.038837,5.0929,0.85013,0.032167,274.69,1.3287,0.055144,0.04381,0.94078,3.7563,0.31857,0.046996,0.0031341,0.45861,0.046996,247.04,215.8,0.37588,0.85472,33.859,0.030666,0.032896,0.79669,0.64721,0.75259,0.46671,0.86793,-1765.4,0.077483,0.17505,0.92252,0.8597,11.686,1.6914,253.41,1.4403,2.5398,0
0.032767,0.30831,0.44764,2.4593,35.24,0.38454,0.032767,2.2435,2.7794,0.69169,0.095602,0.10682,0.020217,0.032767,2002.7,0.18226,3.2435,0.032767,0.011789,20.339,?,0.029223,0.011789,?,0.46836,0.18226,0.46508,1.8225,2.4292,0.0090075,0.011789,40.709,8.966,8.9203,0.029223,2.7794,?,0.69169,0.010514,1.0077,0.1952,0.010514,58.473,38.134,0.21156,1.9544,20.555,0.0057992,0.0020865,2.4468,0.30674,0.11153,2.8161,2.8161,120.26,0.010514,0.047372,0.98849,0,17.946,9.5715,40.281,9.0613,11.316,0
0.072227,0.35931,0.61677,2.8577,32.076,0,0.075139,1.7831,2.0079,0.64069,0.21893,0.22631,0.053658,0.075139,1217.2,0.29986,2.7831,0.075139,0.037421,81.352,0.82257,0.071784,0.035971,?,0.61721,0.29175,0.49921,12.042,3.3282,0.17078,0.037421,62.993,5.7943,5.3541,0.084166,2.0079,?,0.64069,0.041917,0.051576,0.11474,0.03575,169.35,88.003,0.16139,1.5097,84.911,0.039181,0.019513,2.6406,0.33201,0.17258,12.509,12.509,1313.3,0.041917,0.11273,0.9653,0,4.4867,4.1476,60.352,6.0478,39.204,0
0.27808,0.2215,0.72317,4.9888,122.53,0.020789,0.34692,3.5148,2.1362,0.7785,0.35334,1.9135,0.18083,0.34692,209.29,1.744,4.5148,0.34692,0.1624,21.963,1.3531,0.35305,0.13018,?,0.77157,1.4332,55,7.5704,3.8582,-0.034023,0.16456,37.242,9.8008,8.0223,0.35927,2.1362,20.975,0.8155,0.16818,1.6403,0.018815,0.16527,103.73,81.766,2.1633,4.2798,26.404,0.31368,0.14684,4.0835,0.1813,0.10203,8.1497,8.5369,5216.9,0.16818,0.3572,0.83763,0.047519,16.619,4.464,30.978,11.782,22.362,0
-0.026983,0.76312,0.043526,1.0572,-53.792,-0.28811,-0.026983,0.31042,2.0782,0.23688,-0.026971,-0.03546,0.0085657,-0.026983,15647,0.023327,1.3104,-0.026983,-0.012984,61.187,?,-0.076287,-0.012984,?,-0.31509,0.023327,-6259.1,0.22262,3.5051,0.36068,-0.012978,132.82,2.7482,2.7404,-0.013037,2.0782,?,0.23688,-0.0062734,0.019047,-0.80746,-0.036708,138.75,77.56,-0.077453,0.59938,60.806,-0.12107,-0.058258,1.0542,0.76095,0.36388,1.2115,1.2115,139.28,-0.0062733,-0.11391,1.0127,0,5.9653,4.706,133.65,2.731,10.629,0
0.15079,0.5842,0.23091,1.4485,85.889,0,0.18543,0.71174,0.87949,0.4158,0.19444,0.36018,0.24102,0.18543,1005.9,0.36285,1.7117,0.18543,0.21084,30.181,2.4729,0.19103,0.17146,?,0.37561,0.30356,21.206,0.90817,4.4726,0.66353,0.21402,272.5,1.3394,1.1804,0.18991,0.87949,?,0.4158,0.21593,0.0012331,0.089501,0.21721,309.23,279.05,2.0735,1.3073,38.493,0.16449,0.18703,1.2765,0.51483,0.74658,1.6353,1.6353,6854.9,0.21593,0.36266,0.79215,0,12.094,1.308,213.66,1.7083,3.459,0
0.0061347,0.69489,0.29824,1.436,8.3128,0.13115,0.0061347,0.43907,3.7178,0.30511,0.039223,0.0089684,0.0039155,0.0061347,17424,0.020949,1.4391,0.0061347,0.0016501,20.732,1.0269,0.039222,0.0016501,?,0.25735,0.020949,1.1854,16.833,3.0199,0.15587,0.0035499,68.043,5.3643,5.2805,0.048391,3.7178,71.069,0.31596,0.013016,0.17239,0.48617,0.01055,84.86,64.128,0.029051,1.1273,21.006,0.0308,0.0082844,1.4136,0.68404,0.18642,17.221,17.833,312.25,0.013016,0.020107,0.99835,0.035562,17.605,5.6918,67.157,5.435,209.84,0
0.057159,0.72184,0.3841,1.6533,32.606,0,0.069934,0.38535,2.4997,0.27816,0.072379,0.11896,0.028446,0.069934,3705.3,0.098507,1.3854,0.069934,0.027977,24.219,1.0284,0.068321,0.022866,?,0.17477,0.08081,27.942,13.713,4.9855,0.16046,0.028005,89.165,4.0935,3.3339,0.093169,2.4997,?,0.27816,0.037272,0.54618,0.34624,0.027331,95.041,70.822,0.34462,1.3712,25.156,0.067149,0.026862,1.3465,0.58789,0.24429,9.9308,9.9308,37151,0.037272,0.20549,0.97232,0,15.071,5.1537,85.842,4.252,89.244,0
0.092539,0.15556,0.45342,4.2506,82.738,0.30143,0.11652,4.2779,1.091,0.66547,0.11652,0.83535,0.13948,0.11652,348.18,1.0483,6.4284,0.11652,0.099663,66.656,0.80316,0.11415,0.07915,0.3564,0.66547,0.89413,1.0652,1.1138,4.5369,-0.052424,0.099663,47.509,7.6828,0.73382,0.11415,1.2358,23.609,0.68154,0.097636,1.5855,0.031824,0.097636,116.06,49.399,0.43341,2.7199,72.721,0.067601,0.05782,3.8115,0.13949,0.13016,1.6347,1.6741,15611,0.083394,0.13906,0.91661,0.024148,5.4759,7.3888,43.547,8.3818,2.872,0
0.26678,0.41576,0.62014,3.8908,64.833,0,0.33272,1.4052,1.7168,0.58424,0.33593,1.551,0.20188,0.33272,437.84,0.83364,2.4052,0.33272,0.1938,78.204,0.70047,0.33418,0.15539,?,0.40666,0.67505,103.84,3.7507,4.4496,0.2259,0.19388,56.947,6.4094,3.3071,0.34186,1.7168,?,0.58424,0.19913,0.16362,0.039818,0.19465,169.99,91.784,0.72525,2.1761,97.649,0.3203,0.18656,2.0076,0.21452,0.15602,3.5336,3.5336,17461,0.19913,0.45663,0.81067,0,4.6673,3.9767,45.608,8.003,10.384,0
0.2108,0.13343,0.72364,6.4233,233.41,0.61529,0.23145,6.2283,1.2379,0.83105,0.23145,1.7346,0.22796,0.23145,191.4,1.907,7.4945,0.23145,0.20735,50.151,0.88209,0.21871,0.18886,0.74307,0.83105,1.7523,2.4255,5.0629,4.6401,-0.30815,0.20735,54.011,6.7578,1.6391,0.21871,1.1355,?,0.83105,0.19594,3.5821,0.018148,0.19594,123.97,73.815,1.3745,5.2739,62.082,0.1957,0.17533,6.4233,0.13343,0.14798,5.8144,5.8144,31595,0.19217,0.25366,0.80783,0,7.278,4.9448,43.632,8.3655,7.8095,0
0.0038919,0.8502,0.27146,1.3726,10.36,0,0.0038919,0.1762,2.096,0.1498,0.011205,0.005342,0.0018568,0.0038919,79735,0.0045776,1.1762,0.0038919,0.0018568,35.78,1.485,0.011205,0.0018568,?,0.012959,0.0045776,1.5322,?,2.5627,0.27466,0.0053458,127.26,2.868,2.4577,0.0065303,2.096,6.5313,0.27146,0.0031156,0.38482,2.5292,0.0053458,125.32,89.539,0.018942,1.0906,35.892,0.011205,0.0053458,1.1762,0.72854,0.34867,?,?,99.183,0.0031156,0.02598,0.99815,0.81206,10.201,4.0764,126.87,2.877,?,0
-0.01251,0.99342,-0.27049,0.64743,-149.5,-0.155,-0.01251,0.0031181,0.99318,0.0030976,-0.01251,-0.016305,0.039174,-0.01251,9409.7,0.03879,1.0066,-0.01251,-0.012717,43.993,1.2983,-0.0020465,-0.012717,-0.155,0.0030976,0.03879,-0.020663,-0.53745,4.9825,0.97642,-0.012717,282.74,1.291,-0.0020601,-0.0020465,1.0126,1.6716,0.22931,-0.0020805,0.044312,0.66657,-0.0020805,171.7,127.7,-0.10551,0.4929,43.693,-0.053091,-0.053972,0.5,0.7672,0.77462,0.0061547,0.45563,-25979,-0.0068647,-4.0385,1.0069,73.03,8.2967,2.8582,284.68,1.2822,1.9545,0
0.044384,1.0643,-0.5298,0.43939,-158.4,-0.52553,0.044384,-0.14114,1.0741,-0.15021,0.044384,0.046965,0.06554,0.044384,3489.2,0.10461,0.93959,0.044384,0.026127,16.954,0.98457,0.12534,0.026127,-0.52553,-0.15021,0.10461,0.79254,-0.90601,4.0275,0.59029,0.026127,218.1,1.6735,0.11777,0.12534,1.82,2.8202,-0.030954,0.073786,0.12617,0.18196,0.073786,63.6,46.646,0.56251,0.35589,18.21,0.058392,0.034374,0.39015,0.94504,0.59754,-0.25687,-0.052934,-5644,0.068995,-0.29548,0.931,-0.79393,21.529,7.8248,203.05,1.7975,2.905,0
0,0.61148,0.05413,1.089,?,0.097809,0,0.59015,?,0.36086,0,0,?,0,?,0,1.6354,0,?,?,0,0,?,0.11394,0.36086,0,?,0.16035,5.2454,?,?,?,0,0,0,0,127.35,0.36405,?,0.058708,?,?,?,?,0,0.66701,?,0,?,1.0833,0.60829,?,1.069,1.0784,9524.6,?,0,?,0.0088284,0,0,?,0,0,0
0.18976,0.7068,0.3507,1.6816,0.37986,0.43435,0.18976,0.41482,1.0769,0.2932,0.18976,0.3688,0.067832,0.18976,1315.8,0.2774,1.4148,0.18976,0.065649,43.805,0.96816,0.20026,0.065649,0.43435,0.2932,0.2774,0.7461,2.6023,4.3833,0.19347,0.065649,69.971,5.2165,0.28333,0.20026,3.0345,2.6959,0.48546,0.069281,0.2887,0.11249,0.069281,90.499,46.695,0.54702,1.0074,47.174,0.19395,0.067098,1.2242,0.51454,0.1917,2.1756,3.6023,8476.2,0.071424,0.64721,0.92858,0.65576,8.3324,7.8168,64.973,5.6177,21.449,0
-0.0083375,0.665,0.14143,1.3044,-61.268,-0.0098755,-0.0081033,0.50376,0.92891,0.335,0.017461,-0.017443,0.00066896,-0.0081033,3.9061e+005,0.00093443,1.5038,-0.0081033,-0.0087235,107.52,0.9144,0.0093222,-0.0089756,?,0.11917,0.00058223,0.36466,0.35896,5.1419,0.70847,0.015626,187.59,1.9458,1.3593,0.024971,0.92891,2.5689,0.46438,0.026882,0.058228,1.2283,0.010036,227.49,119.97,-0.03047,0.71543,110.49,0.00059754,0.00064327,0.91127,0.46457,0.51394,0.85025,1.1786,19610,0.026882,-0.024888,1.0086,0.38621,3.3947,3.0425,182.54,1.9995,2.3576,0
